X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
1974;2019;251205;9;3550308;SP;0;0;5,4;8500;34;1156;1;0;0;1;9,05;0 0 1;1;0;0;0;0;0;0;0;29,16;1 0 0;0;0;1;0;1
1975;2019;251205;9;3550308;SP;0;0;77,6;783,32;38;1444;1;0;0;1;6,66;0 0 1;1;0;0;0;0;0;0;0;6021,76;1 0 0;0;0;1;0;1
1976;2019;251205;9;3550308;SP;1;0;21,8;2497,24;49;2401;1;0;0;1;7,82;1 0 1;0;0;1;0;0;0;0;0;475,24;1 0 0;0;0;1;0;1
1977;2019;251205;9;3550308;SP;1;0;28,7;3079,06;41;1681;1;0;0;1;8,03;1 0 1;0;0;1;0;0;0;0;0;823,69;1 0 0;0;0;1;0;1
1978;2019;251205;9;3550308;SP;1;0;224,6;13952,73;43;1849;1;0;0;1;9,54;1 0 1;0;0;1;0;0;0;0;0;50445,16;1 0 0;0;0;1;0;1
1979;2019;251205;9;3550308;SP;1;1;1,7;1401;30;900;1;0;0;1;7,24;1 1 1;0;0;0;1;0;0;0;0;2,89;1 0 0;0;0;1;0;1
1980;2019;251205;9;3550308;SP;0;1;140,5;10500;34;1156;1;0;0;1;9,26;0 1 1;0;1;0;0;0;0;0;0;19740,25;1 0 0;0;0;1;0;1
1982;2019;251205;9;3550308;SP;0;0;104,8;5239,5;31;961;1;0;0;1;8,56;0 0 1;1;0;0;0;0;0;0;0;10983,04;1 0 0;0;0;1;0;1
1983;2019;251205;9;3550308;SP;1;0;7,7;4000;33;1089;1;0;0;1;8,29;1 0 1;0;0;1;0;0;0;0;0;59,29;1 0 0;0;0;1;0;1
1984;2019;251205;9;3550308;SP;0;0;7,5;5737,05;26;676;1;0;0;1;8,65;0 0 1;1;0;0;0;0;0;0;0;56,25;1 0 0;0;0;1;0;1
